Date,Open,High,Low,Close,Adj Close,Volume
"Dec 24, 2025","87,404.32","87,956.88","86,411.80","87,611.96","87,611.96","25,550,297,986"
"Dec 23, 2025","88,490.03","88,898.38","86,606.98","87,414.00","87,414.00","43,683,011,533"
"Dec 22, 2025","88,621.40","90,501.93","87,908.07","88,490.02","88,490.02","38,047,472,118"
"Dec 21, 2025","88,344.70","89,027.95","87,613.20","88,621.75","88,621.75","19,845,522,660"
"Dec 20, 2025","88,101.67","88,497.20","87,924.88","88,344.00","88,344.00","14,688,196,659"
"Dec 19, 2025","85,476.13","89,339.12","85,107.66","88,103.38","88,103.38","46,733,310,561"
"Dec 18, 2025","86,144.37","89,412.66","84,436.31","85,462.51","85,462.51","52,667,115,348"
"Dec 17, 2025","87,847.62","90,264.57","85,316.27","86,143.76","86,143.76","44,243,392,914"
"Dec 16, 2025","86,424.41","88,170.09","85,381.69","87,843.98","87,843.98","41,262,178,223"
"Dec 15, 2025","88,171.08","89,983.92","85,304.08","86,419.78","86,419.78","45,559,514,323"
"Dec 14, 2025","90,296.44","90,498.11","87,634.94","88,175.18","88,175.18","50,465,972,205"
"Dec 13, 2025","90,257.80","90,647.57","89,800.99","90,298.71","90,298.71","64,237,748,110"
"Dec 12, 2025","92,513.66","92,747.93","89,532.60","90,270.41","90,270.41","80,275,884,583"
"Dec 11, 2025","92,011.30","93,554.27","89,335.30","92,511.34","92,511.34","64,532,834,621"
"Dec 10, 2025","92,695.23","94,477.16","91,640.13","92,020.95","92,020.95","65,420,694,513"
"Dec 9, 2025","90,639.70","94,601.57","89,586.98","92,691.71","92,691.71","66,861,721,440"
"Dec 8, 2025","90,424.59","92,267.12","89,644.89","90,640.20","90,640.20","57,394,099,056"
"Dec 7, 2025","89,277.81","91,740.84","87,799.56","90,405.64","90,405.64","47,394,898,960"
"Dec 6, 2025","89,389.36","90,267.46","88,951.66","89,272.38","89,272.38","37,994,042,405"
"Dec 5, 2025","92,133.65","92,702.64","88,152.14","89,387.76","89,387.76","63,256,398,633"
"Dec 4, 2025","93,454.26","94,038.24","90,976.10","92,141.63","92,141.63","64,538,402,681"
"Dec 3, 2025","91,345.09","94,060.77","91,056.39","93,527.80","93,527.80","77,650,204,986"
"Dec 2, 2025","86,322.54","92,316.63","86,202.20","91,350.20","91,350.20","78,546,798,211"
"Dec 1, 2025","90,389.11","90,398.16","83,862.25","86,321.57","86,321.57","87,962,894,424"
"Nov 30, 2025","90,838.21","91,965.05","90,394.31","90,394.31","90,394.31","38,497,902,869"
"Nov 29, 2025","90,918.74","91,187.62","90,260.19","90,851.76","90,851.76","37,921,773,455"
"Nov 28, 2025","91,285.38","92,969.09","90,257.12","90,919.27","90,919.27","60,895,830,289"
"Nov 27, 2025","90,517.77","91,897.58","90,089.52","91,285.38","91,285.38","57,040,622,845"
"Nov 26, 2025","87,345.59","90,581.16","86,316.90","90,518.37","90,518.37","66,496,301,869"
"Nov 25, 2025","88,269.96","88,457.34","86,131.43","87,341.89","87,341.89","64,837,343,545"
"Nov 24, 2025","86,798.77","89,206.34","85,272.20","88,270.56","88,270.56","74,433,896,110"
"Nov 23, 2025","84,648.61","88,038.47","84,641.77","86,805.01","86,805.01","58,083,435,576"
"Nov 22, 2025","85,098.56","85,503.01","83,490.90","84,648.36","84,648.36","40,793,099,246"
"Nov 21, 2025","86,528.77","87,380.80","80,659.81","85,090.69","85,090.69","129,157,506,112"
"Nov 20, 2025","91,459.35","93,025.07","86,040.80","86,631.90","86,631.90","97,970,645,638"
"Nov 19, 2025","92,946.16","92,946.16","88,526.83","91,465.99","91,465.99","80,350,354,656"
"Nov 18, 2025","92,094.53","93,745.08","89,300.46","92,948.88","92,948.88","101,333,569,062"
"Nov 17, 2025","94,180.88","95,928.37","91,214.76","92,093.88","92,093.88","94,186,165,724"
"Nov 16, 2025","95,556.87","96,564.19","92,971.16","94,177.08","94,177.08","71,086,235,862"
"Nov 15, 2025","94,420.47","96,728.47","94,420.47","95,549.15","95,549.15","38,500,716,654"
"Nov 14, 2025","99,694.70","99,804.43","94,000.73","94,397.79","94,397.79","114,346,441,890"
"Nov 13, 2025","101,674.15","104,005.49","97,988.72","99,697.49","99,697.49","101,546,815,416"
"Nov 12, 2025","103,011.44","105,297.23","100,836.62","101,663.19","101,663.19","64,347,179,408"
"Nov 11, 2025","105,996.86","107,428.26","102,457.33","102,997.47","102,997.47","71,130,078,574"
"Nov 10, 2025","104,723.77","106,564.70","104,350.65","105,996.59","105,996.59","69,585,887,229"
"Nov 9, 2025","102,278.98","105,418.37","101,468.88","104,719.64","104,719.64","59,679,243,013"
"Nov 8, 2025","103,371.70","103,373.56","101,458.04","102,282.12","102,282.12","51,446,691,095"
"Nov 7, 2025","101,286.24","104,052.91","99,257.05","103,372.41","103,372.41","92,168,030,081"
"Nov 6, 2025","103,893.66","104,147.30","100,336.87","101,301.29","101,301.29","63,932,752,861"
"Nov 5, 2025","101,579.23","104,534.70","98,989.91","103,891.84","103,891.84","77,584,934,804"
"Nov 4, 2025","106,541.42","107,264.88","98,962.06","101,590.52","101,590.52","110,967,184,773"